2024-08-07 17:44:22 | DEBUG | mylogger | main.py:253 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:253 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:253 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:253 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:253 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:253 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:253 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:253 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:253 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:253 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:253 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:253 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:253 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:253 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:253 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:253 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:253 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:253 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:253 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:253 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:253 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:253 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:253 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:253 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:253 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:253 | <module> | _PX4_COMMUNICATION_ENABLE False
2024-08-07 17:44:22 | DEBUG | mylogger | main.py:253 | <module> | _PX4_COMMUNICATION_ENABLE False
